"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pp[3,12]",0.999978435026633,8.96139921428302e-05,0.999822752977519,0.999988536844818,0.999997183273434,0.999999434256527,0.999999966829142,1,1
"pp[1,13]",2.02817815768833e-09,1.05584685247485e-08,1.0015523295828e-19,9.26054611457591e-15,1.73759030889169e-13,4.1801950297038e-12,2.37356500071384e-08,1.33766535654923,10
"pp[2,13]",2.37414442091848e-05,9.65720993704334e-05,3.94217561569215e-08,6.53743053375255e-07,3.21422650349043e-06,1.28785285009974e-05,0.000196679742592008,1.07396622568782,38
"pp[3,13]",0.999976256527613,9.65731694471275e-05,0.999803318516763,0.999987111028096,0.999996785772748,0.999999346256804,0.999999960578212,1,1
"pp[1,14]",2.40378024055288e-09,1.24436805145529e-08,1.47150044576188e-19,1.24907760616408e-14,2.27866594110979e-13,5.37803925976037e-12,2.83299447501174e-08,1.33797427643127,10
"pp[2,14]",2.61487574652658e-05,0.000104102227773713,4.71962236571695e-08,7.59099945971821e-07,3.69782392321298e-06,1.45746235539909e-05,0.000218244761077511,1.07396976734683,38
"pp[3,14]",0.999973848838755,0.000104103508280753,0.99978175357224,0.999985424932847,0.999996302175829,0.999999240899582,0.999999952803768,1.19554837239736,140
"pp[1,15]",2.84926513719795e-09,1.46670145701839e-08,2.16195748139651e-19,1.67055742440165e-14,2.99275114364892e-13,6.92550410474717e-12,3.37444514982944e-08,1.33828593488656,10
"pp[2,15]",2.8810231825918e-05,0.000112253224580327,5.66823017404543e-08,8.85267749709338e-07,4.24477817879663e-06,1.65062478852629e-05,0.000242100340017582,1.07397176071249,38
"pp[3,15]",0.999971186918909,0.000112254757051038,0.999757899027386,0.999983493750087,0.99999575521932,0.999999114727721,0.999999943317694,1.19239824315109,140
"pp[1,16]",3.3776990758741e-09,1.7289395892306e-08,3.17639056075962e-19,2.2287724435028e-14,3.93618987378775e-13,8.82540940844795e-12,4.02674102235312e-08,1.33860032743603,10
"pp[2,16]",3.17537298883533e-05,0.000121079415221297,6.76695324112036e-08,1.02960835097224e-06,4.84680181643129e-06,1.86000941984489e-05,0.000266762759850538,1.07397210889124,38
"pp[3,16]",0.999968242892413,0.000121081249408262,0.999733235136191,0.999981386576632,0.999995153196466,0.999998970383742,0.99999993233045,1.18920191274045,140
"pp[1,17]",4.00460412445594e-09,2.03827801048728e-08,4.6668156135544e-19,3.01146546359254e-14,5.21128462775938e-13,1.12326277215476e-11,4.80210536712987e-08,1.33891744666877,10
"pp[2,17]",3.50102780165509e-05,0.000130640151583588,8.04115992036392e-08,1.19170645935966e-06,5.5663907482283e-06,2.10278614529823e-05,0.000291691139694586,1.07397070923149,38
"pp[3,17]",0.999964985717379,0.000130642347087661,0.999708306376377,0.999978967469657,0.999994433597393,0.999998808291134,0.999999919588385,1.18596291993709,140
"pp[1,18]",4.74842235300586e-09,2.40321601607645e-08,6.8565774233495e-19,4.013243725011e-14,6.84216646634691e-13,1.43829289339477e-11,5.68771739964451e-08,1.3392372819956,10
"pp[2,18]",3.86144376412478e-05,0.000141000298734456,9.64696078717282e-08,1.37932471865756e-06,6.34752818355772e-06,2.37127251121693e-05,0.000318822727070224,1.07396745296165,38
"pp[3,18]",0.999961380813936,0.00014100292695671,0.999681153417364,0.999976287258198,0.999993652468195,0.999998620675272,0.999999903530271,1.18268509383692,130
"pp[1,19]",5.63106824978695e-09,2.83379402542693e-08,1.00738185171097e-18,5.35861897803292e-14,8.9907500369509e-13,1.83600734865932e-11,6.70770941326816e-08,1.33955981938404,10
"pp[2,19]",4.26047215085595e-05,0.000152230770284847,1.1520405279128e-07,1.60625185547704e-06,7.27887883429417e-06,2.668512209514e-05,0.000347844919092627,1.07396222480423,38
"pp[3,19]",0.999957389647423,0.000152233916765463,0.999652126838901,0.99997331486701,0.999992720971526,0.999998393745625,0.999999884794972,1.17937254415224,130
"pp[1,20]",6.6785862787576e-09,3.34187442098897e-08,1.48006523055163e-18,7.16005825544233e-14,1.17841974508585e-12,2.34433116239012e-11,7.91061216997248e-08,1.33988504107354,10
"pp[2,20]",4.70240604784804e-05,0.000164409117337687,1.36842463333434e-07,1.86233768642739e-06,8.31973636639442e-06,3.01165953453273e-05,0.000381411444966114,1.07395490256419,38
"pp[3,20]",0.999952969260935,0.00016441288455841,0.999618580185005,0.99996986264398,0.999991680155101,0.999998137660672,0.999999863156591,1.17602964786306,130
"pp[1,21]",7.9219337206849e-09,3.94147382876513e-08,2.1745409208839e-18,9.56180981799403e-14,1.53715151237898e-12,2.98930493246148e-11,9.35541067532441e-08,1.34021292526932,10
"pp[2,21]",5.19203271913052e-05,0.000177620176472111,1.62875434126634e-07,2.1725554161125e-06,9.53803484250792e-06,3.40355892565979e-05,0.00042005209441143,1.07394535668988,38
"pp[3,21]",0.999948071750875,0.000177624687214055,0.999579931780452,0.999965956900935,0.999990461960824,0.99999782743535,0.999999837124526,1.1726610320923,130
"pp[1,22]",9.39791282584971e-09,4.64915631334942e-08,3.19487820516836e-18,1.272219735735e-13,2.01767593733866e-12,3.80991328058538e-11,1.11164441509669e-07,1.34054344581321,10
"pp[2,22]",5.73469237307064e-05,0.000191956782770883,1.95155700165243e-07,2.53029797794457e-06,1.09345371939072e-05,3.84057429592255e-05,0.000466072095821367,1.07393344980469,38
"pp[3,22]",0.999942643678357,0.000191962184137556,0.999533908589176,0.999961532098542,0.999989065247706,0.999997469695905,0.999999804844002,1.1692715531276,120
"pp[1,23]",1.11502809475211e-08,5.48449871425304e-08,4.69397769031378e-18,1.6965297401432e-13,2.65434613337991e-12,4.85117390477725e-11,1.32111700927154e-07,1.34087657182978,10
"pp[2,23]",6.33634413293381e-05,0.000207520554510564,2.30738529710218e-07,2.95429274584724e-06,1.25138503456428e-05,4.33148195381179e-05,0.000515961487195342,1.07391903620751,38
"pp[3,23]",0.99993662540839,0.000207527022747765,0.999483729677358,0.99995655326419,0.999987486149282,0.999997045705842,0.999999769261461,1.16586627158092,120
"pp[1,24]",1.32310728699951e-08,6.47064143073703e-08,6.925637123075e-18,2.31580290438045e-13,3.50672723870134e-12,6.19364898790249e-11,1.57035222417046e-07,1.34121226734587,10
"pp[2,24]",7.00364012006477e-05,0.000224422756807544,2.77116571409551e-07,3.4376921394509e-06,1.4295509191701e-05,4.88033633887948e-05,0.000570202842133797,1.07390196133975,38
"pp[3,24]",0.999929950367726,0.000224430503077658,0.999429432982714,0.9999511958048,0.999985704478713,0.999996562304971,0.999999722882539,1.16245042375243,120
"pp[1,25]",1.57021761703431e-08,7.63494043044689e-08,1.02334586537597e-17,3.13665864900918e-13,4.60135370210654e-12,7.98734575515898e-11,1.86677450954499e-07,1.34155049088149,10
"pp[2,25]",7.74400867552173e-05,0.000242785252253882,3.28888003039947e-07,3.97439601881136e-06,1.63165542571251e-05,5.5152390505944e-05,0.000630033508857668,1.07388206121686,38
"pp[3,25]",0.999922544211069,0.000242794529553267,0.999369538050525,0.999944846969766,0.999983683429751,0.999996025602567,0.999999671111198,1.15902938934676,120
"pp[1,26]",1.86372083715249e-08,9.00973918545063e-08,1.51211605686696e-17,4.23476878296909e-13,6.12155443873469e-12,1.02007945367376e-10,2.21863842316441e-07,1.34189119500977,10
"pp[2,26]",8.56574787897647e-05,0.00026274154739105,3.90377755169394e-07,4.61764912910515e-06,1.85813451493055e-05,6.23224096134857e-05,0.000688788426620495,1.07385916182188,38
"pp[3,26]",0.999914323884002,0.00026275265883633,0.999311203038331,0.99993765986963,0.999981418649923,0.999995382348578,0.999999609621991,1.1556086557768,120
"pp[1,27]",2.21237541107689e-08,1.063328271408e-07,2.23509551058898e-17,5.71670706681164e-13,8.08172849635187e-12,1.30151998720875e-10,2.63679362275225e-07,1.34223432588382,10
"pp[2,27]",9.47813067427235e-05,0.000284437944764017,4.63363785150183e-07,5.35082276192354e-06,2.1300277819598e-05,6.99096351575312e-05,0.000750081420073573,1.07383307845859,38
"pp[3,27]",0.999905196569503,0.000284451253517608,0.999249907495591,0.999930065580689,0.999978699713263,0.999994649138177,0.999999536636199,1.15219377937824,110
"pp[1,28]",2.62660318662303e-08,1.25508000307582e-07,3.32669561086467e-17,7.71704456225162e-13,1.06413806264166e-11,1.67073293699191e-10,3.13371808226391e-07,1.34257982272768,10
"pp[2,28]",0.000104915230815707,0.000308034811279717,5.49839120422801e-07,6.24342265986402e-06,2.43497746510741e-05,7.9162767879355e-05,0.000822518023066802,1.07380361506157,38
"pp[3,28]",0.999895058503152,0.000308050752438117,0.999177432780694,0.999920837174085,0.999975650214525,0.999993756569734,0.999999450160711,1.14879034394725,110
"pp[1,29]",3.11880733227784e-08,1.48157862005588e-07,4.99292044914257e-17,1.02543589119404e-12,1.4052420287757e-11,2.14703611681295e-10,3.72269978365316e-07,1.34292761728872,10
"pp[2,29]",0.00011617517169195,0.000333707974670442,6.52471391678588e-07,7.27798345792704e-06,2.80105253680197e-05,8.89666449426079e-05,0.000907410846224655,1.07377056346041,38
"pp[3,29]",0.999883793640235,0.000333727069502444,0.99909257480117,0.999911033224899,0.999971987972071,0.999992721893842,0.999999347528084,1.14540391709822,110
"pp[1,30]",3.70375146530844e-08,1.74915210053117e-07,7.49369844463441e-17,1.37033766036158e-12,1.83460177078483e-11,2.71684506003616e-10,4.36321278096033e-07,1.34327763324845,10
"pp[2,30]",0.000128690806771398,0.000361650261042212,7.80954663102834e-07,8.45121502240123e-06,3.19403443792968e-05,0.000100379305912575,0.00099186456774044,1.07373370259525,38
"pp[3,30]",0.999871272155714,0.000361673134040271,0.999008113971711,0.999899620675398,0.999968046917035,0.999991548780987,0.999999219043774,1.14204000501785,110
"pp[1,31]",4.39901183693395e-08,2.06528681256451e-07,1.12470275862618e-16,1.85089592432586e-12,2.4146697019232e-11,3.48276036657896e-10,5.20791717946841e-07,1.34362978558847,10
"pp[2,31]",0.000142607254321959,0.000392073187778943,9.30049819813329e-07,9.77859596944788e-06,3.64044212720416e-05,0.00011329089891724,0.00108416995282122,1.07369279768037,38
"pp[3,31]",0.99985734875556,0.000392100587077907,0.998915794763834,0.999886532856018,0.999963594991516,0.999990221326843,0.999999069948807,1.1387040062612,110
"pp[1,32]",5.22551675954955e-08,2.43884069328254e-07,1.6880266029261e-16,2.52470350580164e-12,3.18439209969827e-11,4.49538168733275e-10,6.23965042477405e-07,1.34398397990798,10
"pp[2,32]",0.000158086969756633,0.000425208827484256,1.09848534989444e-06,1.13209921962225e-05,4.16858703776844e-05,0.000127764574210001,0.00119780306363741,1.0736475993128,38
"pp[3,32]",0.999841860775076,0.000425241649310337,0.99880217273502,0.999872026300123,0.999958313774631,0.999988678165443,0.999998901513398,1.13540116529241,100
"pp[1,33]",6.20819023779448e-08,2.88029587085152e-07,2.53460869467173e-16,3.37575862950839e-12,4.20972678132752e-11,5.76980776913362e-10,7.40239576480239e-07,1.34434011168913,10
"pp[2,33]",0.000175311881430975,0.000461311860182683,1.31168045610645e-06,1.31395581904731e-05,4.780751977023e-05,0.00014392814984879,0.00132324966809712,1.07359784252258,38
"pp[3,33]",0.999824626036667,0.000461351178125472,0.998676734865005,0.999855527504584,0.999952191892489,0.999986860352021,0.999998688318687,1.13213652651476,100
"pp[1,34]",7.37672009041113e-08,3.40205806582582e-07,3.807287225914e-16,4.57483162908763e-12,5.54792985522648e-11,7.36127345023441e-10,8.79730911760854e-07,1.34469806550598,10
"pp[2,34]",0.000194485796964896,0.000500661832680115,1.56590850503916e-06,1.52891160152251e-05,5.46511387374362e-05,0.00016234828489345,0.00146172444060037,1.07354324576112,38
"pp[3,34]",0.999805440435834,0.000500708932735549,0.998538266385444,0.999837409839117,0.999945337035752,0.999984710855815,0.999998434089937,1.12891488955906,100
"pp[1,35]",8.76647483264171e-08,4.01881147985622e-07,5.7190030309346e-16,6.19040096133569e-12,7.2687637165849e-11,9.37399798837211e-10,1.0491068253274e-06,1.34505771417248,10
"pp[2,35]",0.000215837115183698,0.00054356564580834,1.8691900010379e-06,1.76543200743046e-05,6.26579176741553e-05,0.000182193722034096,0.00161466681545091,1.07348350982413,38
"pp[3,35]",0.999784075220068,0.000543622068325846,0.998385325653841,0.999817611129156,0.999937283049719,0.999982345618969,0.999998130804696,1.12574076660446,100
"pp[1,36]",1.04195983606283e-07,4.74793950853689e-07,8.59062910252132e-16,8.30626904335613e-12,9.4972938305795e-11,1.19819414862302e-09,1.2473064998367e-06,1.34541891782475,10
"pp[2,36]",0.000239621883409687,0.000590360292259009,2.2431646183643e-06,2.04279845445282e-05,7.18699115671538e-05,0.0002046329069317,0.00177261604211634,1.07341831670547,38
"pp[3,36]",0.999760273920607,0.000590427882147229,0.998227380284226,0.999794992811799,0.999928130011447,0.999979571326471,0.999997756708491,1.12261834249027,99
"pp[1,37]",1.23863171976494e-07,5.61002354974926e-07,1.28906146865988e-15,1.11558629322326e-11,1.24655943058534e-10,1.53280904998732e-09,1.48221492659345e-06,1.34578152293216,10
"pp[2,37]",0.000266127245090066,0.000641415869856184,2.69618042228657e-06,2.3628097068585e-05,8.19602731404589e-05,0.000232144125582277,0.0019591487680311,1.07334732837805,38
"pp[3,37]",0.999733748891738,0.000641496836665645,0.998040845925169,0.999767427220064,0.999917806616491,0.999976371885137,0.999997303804766,1.11955143834121,98
"pp[1,38]",1.47265019165945e-07,6.62943447671743e-07,1.91759774710461e-15,1.50151022951773e-11,1.62587426044322e-10,1.95448176509637e-09,1.76119815348531e-06,1.34614536123144,10
"pp[2,38]",0.000295675328700706,0.000697138897430498,3.20252339858589e-06,2.76052716961425e-05,9.38771520902192e-05,0.00026192142482355,0.00214539140274037,1.07327018549802,38
"pp[3,38]",0.99970417740628,0.000697235887246456,0.99785295587419,0.999737110428221,0.99990592250926,0.999972394597241,0.999996797474815,1.11654347937216,96
"pp[1,39]",1.75115325717099e-07,7.8350340743829e-07,2.82316715794523e-15,2.02807692169754e-11,2.141484847813e-10,2.49323843878747e-09,2.09034261132982e-06,1.34651024857756,10
"pp[2,39]",0.000328627635610796,0.000757975962946821,3.8022618533386e-06,3.18907222557727e-05,0.000107201500391038,0.000295648577473847,0.00236555001176718,1.07318650602855,38
"pp[3,39]",0.999671197249064,0.000758092144400913,0.997630079179671,0.999702867661958,0.999892633541105,0.999968109034578,0.999996197422957,1.11359746746261,95
"pp[1,40]",2.08265278292961e-07,9.26100697966363e-07,4.16833854414294e-15,2.71287312596576e-11,2.81744146154509e-10,3.20102936398644e-09,2.4639080170751e-06,1.34687598370432,10
"pp[2,40]",0.000365389992233667,0.000824417736203991,4.57135948027873e-06,3.72515650995064e-05,0.000122653097900608,0.00033237987339423,0.00260963787759311,1.07309588377913,38
"pp[3,40]",0.999634401742488,0.000824556903360788,0.997390229052444,0.999667199088711,0.999877344346516,0.999962747817889,0.999995428633248,1.11071595899923,94
"pp[1,41]",2.47730093111802e-07,1.09478475168291e-06,6.14325080604664e-15,3.59581404584565e-11,3.69335460098941e-10,4.0951728598805e-09,2.90417830757762e-06,1.34724234688726,10
"pp[2,41]",0.000406418140440315,0.000897003381268929,5.50016574504135e-06,4.32838162272708e-05,0.000140223481602998,0.000377070703088468,0.00288020560101644,1.07299788685703,38
"pp[3,41]",0.999593334129467,0.000897170076676385,0.997114057384288,0.999622485409287,0.999859667805602,0.999956715968466,0.999994499821881,1.10790104837806,93
"pp[1,42]",2.94720868527065e-07,1.29435303926274e-06,9.16618975375726e-15,4.83455703246538e-11,4.82728371597514e-10,5.21648389946403e-09,3.42304841583688e-06,1.34760909850048,10
"pp[2,42]",0.000452224050004131,0.000976325406823476,6.54550903225594e-06,5.0333467932634e-05,0.000161071623641791,0.000424840280728931,0.00317825902920816,1.07289205602714,38
"pp[3,42]",0.999547481229127,0.000976525068650594,0.996815728933233,0.99957337065587,0.999838927092699,0.999949656878199,0.999993454489026,1.10515435744145,92
"pp[1,43]",3.50682674054534e-07,1.53048996471136e-06,1.33394145740358e-14,6.42422886818974e-11,6.27131515287437e-10,6.6606165115014e-09,4.03452970526995e-06,1.34797597745837,10
"pp[2,43]",0.000503383047923174,0.00106303499578001,7.82305262542654e-06,5.86404940500112e-05,0.000184092068109886,0.00047952391177305,0.00350415626001563,1.07277790297711,38
"pp[3,43]",0.999496266269403,0.00106327413371971,0.996495600172989,0.999517314171701,0.999815775365801,0.999941358751953,0.999992176920484,1.1024770310008,91
"pp[1,44]",4.17340107575559e-07,1.80993167054667e-06,1.96488803650803e-14,8.64893145080296e-11,8.25205724933723e-10,8.61974238164554e-09,4.79475297479789e-06,1.34834269953243,10
"pp[2,44]",0.000560541871991286,0.00115784785884321,9.25998286318407e-06,6.81954001826961e-05,0.000209817669808483,0.00054282645993274,0.00386974178168279,1.07265490848481,38
"pp[3,44]",0.999439040787901,0.00115813426435526,0.996120519260754,0.999454606196401,0.999790181701073,0.999931803968789,0.99999073937399,1.09986973847039,90
"pp[1,45]",4.96751797917184e-07,2.14066160329774e-06,2.89520970880643e-14,1.15970546926876e-10,1.08057809510126e-09,1.09706233406732e-08,5.72179509878398e-06,1.348708955532,10
"pp[2,45]",0.000624427770140245,0.00126155066013295,1.10822659292263e-05,7.92951109419732e-05,0.000239856886010592,0.000615635320525049,0.0042553915140115,1.0725225204858,38
"pp[3,45]",0.999375075478062,0.00126189365766713,0.995743845600141,0.999382995923526,0.999760142002206,0.999920704346553,0.999988916859207,1.09733268151237,90
"pp[1,46]",5.91375624835881e-07,2.53214259839631e-06,4.26600576121715e-14,1.57201374190822e-10,1.41926520060055e-09,1.40155616354732e-08,6.83856804277667e-06,1.34907440933716,10
"pp[2,46]",0.000695858783049398,0.00137500806649795,1.32640226105476e-05,9.19319737905537e-05,0.000274715601851367,0.000698176517374468,0.00466831835644046,1.07238015203906,38
"pp[3,46]",0.999303549841326,0.00137541881360146,0.995331091457361,0.999299625416125,0.999725284266759,0.999908067580634,0.999986734791648,1.09486560747392,89
"pp[1,47]",7.04146782610923e-07,2.9955923220388e-06,6.31191208117663e-14,2.11292386743598e-10,1.8726574434992e-09,1.83198980238092e-08,8.21702073839892e-06,1.34943869577036,10
"pp[2,47]",0.000775755365532929,0.0014991704756864,1.58752931348996e-05,0.000106606663208634,0.000314266308053298,0.000791577307351744,0.00511946363099768,1.07222717919017,38
"pp[3,47]",0.999223540487684,0.00149966232139763,0.994879853215206,0.999206024974586,0.999685262498126,0.999893371812973,0.999984123099312,1.09246782828728,88
"pp[1,48]",8.38571239022239e-07,3.54431018697708e-06,9.2699770272986e-14,2.85352014040263e-10,2.47559787647653e-09,2.3579121655483e-08,9.79301428416754e-06,1.34980141829224,10
"pp[2,48]",0.000865153522504034,0.00163508248202596,1.87915543401092e-05,0.000123878339168077,0.000358881464597415,0.000893553387594271,0.00561532332643714,1.07206293873218,39
"pp[3,48]",0.999134007906257,0.00163567139473011,0.99438386037615,0.999104545763375,0.999640270386696,0.999876113025412,0.999981207936865,1.09013824440504,88
"pp[1,49]",9.98837652931937e-07,4.19406537624927e-06,1.3656526384642e-13,3.82208308838243e-10,3.2317659861873e-09,3.03088922596113e-08,1.17186296847855e-05,1.35016214650541,10
"pp[2,49]",0.000965219658133951,0.00178389214160358,2.2410736629741e-05,0.000143097970761652,0.000409955044455507,0.0010102366264856,0.00616002321044473,1.07188672586586,39
"pp[3,49]",0.999033781504213,0.00178459721962202,0.993838970389001,0.998986684470315,0.999589490963207,0.999856894392948,0.999977589204464,1.08787537325935,87
"pp[1,50]",1.1899514284423e-06,4.96355740685157e-06,2.01480410599822e-13,5.11309982546223e-10,4.27600477413544e-09,3.89052371462808e-08,1.39811437933251e-05,1.35052041344823,10
"pp[2,50]",0.00107726736244399,0.00194686110200026,2.67930389781849e-05,0.000166032525107581,0.00046835321023127,0.00113891699274883,0.00677586700584205,1.07169779176251,39
"pp[3,50]",0.998921542686128,0.00194770518266063,0.993223945684491,0.998852832917454,0.999531267026959,0.999833956170811,0.999973206944965,1.08567738166647,86
"pp[1,51]",1.41789532264367e-06,5.87496279504273e-06,3.03873413793617e-13,6.85517699481186e-10,5.58408537364084e-09,4.95649323698131e-08,1.66183536334649e-05,1.35087571265862,10
"pp[2,51]",0.00120277638827629,0.00212537566426618,3.18658813613781e-05,0.000193265693925515,0.000535730664638226,0.00129369138889175,0.00756200687214289,1.07149534103507,39
"pp[3,51]",0.998795805716401,0.00212638605011635,0.9924314182485,0.998702115157115,0.999464130613804,0.999806734272881,0.999968133759349,1.08354212154728,86
"pp[1,52]",1.6898219125296e-06,6.95458390578657e-06,4.58301220873462e-13,9.24124764224936e-10,7.32628905814821e-09,6.32763764540095e-08,1.97517591533908e-05,1.35122749498578,10
"pp[2,52]",0.00134341410368001,0.00232095884681205,3.79285383968466e-05,0.000225258776756041,0.000611406825869109,0.0014580607005403,0.00827045532555554,1.07127852912514,39
